,player_dist_walk,player_dmg,team_placement,player_dist_ride,player_survive_time,game_size,party_size,player_kills,player_survival_time
1198,752.788147,190,29,2526.08154,12.0,50,2,1,12.0
1199,689.5824,0,29,2491.458,12.0,50,2,0,12.0
1200,1126.3844,3,8,4852.4926799999985,27.0,50,2,0,27.0
1201,2687.125,12,8,3987.956,27.0,50,2,0,27.0
1202,271.608765,77,43,0.0,3.0,50,2,1,3.0
1203,230.231857,0,43,0.0,2.0,50,2,0,2.0
1204,3144.74976,58,12,2421.7583,24.0,50,2,0,24.0
1205,2251.56079,0,12,0.0,17.0,50,2,0,17.0
1206,2331.40234,18,4,0.0,25.0,50,2,0,25.0
1207,2467.104,343,4,4161.60742,31.0,50,2,2,31.0
1208,147.74211100000005,0,41,1241.64026,4.0,50,2,0,4.0
1209,26.7177734,34,41,0.0,2.0,50,2,0,2.0
1211,893.3006,342,28,0.0,12.0,50,2,2,12.0
1212,26.71991,100,28,0.0,2.0,50,2,1,2.0
1213,1680.29248,7,23,1675.35437,16.0,50,2,0,16.0
1214,1427.076,6,23,1377.7312,16.0,50,2,0,16.0
1215,1042.612,0,31,0.0,7.0,50,2,0,7.0
1216,1817.96,0,31,1417.37781,11.0,50,2,0,11.0
1217,1304.63745,237,21,5428.526370000001,17.0,50,2,2,17.0
1218,529.367554,0,21,4163.822,12.0,50,2,0,12.0
1219,4033.72241,341,9,0.0,26.0,50,2,2,26.0
1220,1980.82385,24,9,0.0,13.0,50,2,0,13.0
1221,2205.00659,412,14,4602.805,23.0,50,2,3,23.0
1222,2163.24731,223,14,3829.13965,23.0,50,2,2,23.0
1223,3997.77344,219,20,0.0,18.0,50,2,2,18.0
1224,118.412773,0,20,0.0,2.0,50,2,0,2.0
1225,530.15094,97,27,6354.43,13.0,50,2,0,13.0
1226,659.1896360000002,13,27,3062.032,10.0,50,2,0,10.0
1227,275.257,0,35,0.0,4.0,50,2,0,4.0
1228,256.6944,62,35,0.0,5.0,50,2,1,5.0
1229,191.001541,64,38,0.0,4.0,50,2,0,4.0
1230,180.680481,0,38,0.0,4.0,50,2,0,4.0
1231,3352.11743,200,11,556.2531,24.0,50,2,2,24.0
1232,3174.68115,264,11,539.2195429999998,25.0,50,2,2,25.0
1233,1253.35828,10,18,2486.52563,18.0,50,2,0,18.0
1234,1205.95264,77,18,2205.233,19.0,50,2,0,19.0
1235,152.91043100000005,0,39,619.3312,4.0,50,2,0,4.0
1236,373.057739,125,39,0.0,4.0,50,2,1,4.0
1237,1755.312,288,2,2547.48022,32.0,50,2,3,32.0
1238,1976.32178,470,2,3205.762,32.0,50,2,1,32.0
1239,2536.99927,476,3,5054.189,32.0,50,2,6,32.0
1240,2550.649,1145,3,5045.831,32.0,50,2,8,32.0
1241,1701.50708,242,7,4488.56738,27.0,50,2,2,27.0
1242,1711.51221,0,7,4104.58,27.0,50,2,0,27.0
1243,2603.182860000001,20,22,0.0,16.0,50,2,1,16.0
1244,2022.30347,123,22,0.0,16.0,50,2,0,16.0
1245,333.0373,13,40,1541.50342,4.0,50,2,0,4.0
1246,148.0273,49,40,1793.9,4.0,50,2,0,4.0
1247,783.493835,84,32,535.8921,9.0,50,2,0,9.0
1248,819.0667,0,32,562.4844360000002,9.0,50,2,0,9.0
1249,880.944458,0,25,4068.70386,15.0,50,2,0,15.0
1250,1059.636,0,25,3974.0874,15.0,50,2,0,15.0
1252,1920.91968,32,17,0.0,20.0,50,2,0,20.0
1253,1880.59644,100,17,0.0,20.0,50,2,0,20.0
1254,2351.89258,0,6,4349.526370000001,28.0,50,2,0,28.0
1255,2658.03833,59,6,4308.68945,28.0,50,2,0,28.0
1256,1764.9620000000002,214,5,6878.139,29.0,50,2,2,29.0
1257,2353.90845,34,5,6786.584470000002,27.0,50,2,0,27.0
1915,883.7684,226,26,0.0,9.0,50,2,2,9.0
1916,23.6527958,134,26,0.0,2.0,50,2,2,2.0
1917,155.551559,72,47,0.0,2.0,50,2,0,2.0
1918,131.277756,55,47,0.0,2.0,50,2,0,2.0
1919,68.0476151,49,18,0.0,3.0,50,2,0,3.0
1920,1194.83777,0,18,1089.09473,16.0,50,2,0,16.0
1921,403.6625,0,42,0.0,3.0,50,2,0,3.0
1922,67.47246,100,42,0.0,3.0,50,2,0,3.0
1923,407.644531,240,40,0.0,4.0,50,2,3,4.0
1924,502.584229,327,40,0.0,4.0,50,2,3,4.0
1925,1654.89246,234,5,2300.62158,27.0,50,2,0,27.0
