,player_dist_walk,player_dmg,team_placement,player_dist_ride,player_survive_time,game_size,party_size,player_kills,player_survival_time
872,2663.03052,406,15,394.4074,24.0,94,1,3,24.0
873,218.919922,0,62,1529.5415,5.0,94,1,0,5.0
874,1773.0011,0,26,0.0,20.0,94,1,0,20.0
875,1991.16113,190,20,5171.59668,22.0,94,1,2,22.0
876,42.40515,34,82,0.0,2.0,94,1,0,2.0
877,2564.21045,167,13,3837.45654,25.0,94,1,1,25.0
878,76.83712,17,74,0.0,2.0,94,1,0,2.0
879,103.417786,138,72,0.0,3.0,94,1,1,3.0
880,17.594518700000005,0,88,0.0,14.0,94,1,0,14.0
881,740.9535,34,63,0.0,5.0,94,1,0,5.0
882,1300.67725,24,37,5633.67627,17.0,94,1,0,17.0
883,1268.228,90,21,4296.6416,22.0,94,1,1,22.0
884,447.865051,111,53,2620.1377,9.0,94,1,1,9.0
885,2271.654,0,36,25.74014,18.0,94,1,0,18.0
886,1526.62646,101,11,5381.69434,25.0,94,1,1,25.0
887,1835.73938,310,29,4326.706,19.0,94,1,3,19.0
888,2134.67261,245,24,3499.663,22.0,94,1,2,22.0
889,1553.75793,0,43,1349.98328,15.0,94,1,0,15.0
890,31.21605,72,87,0.0,1.0,94,1,0,1.0
891,8.070193,0,94,0.0,1.0,94,1,0,1.0
892,2476.95483,110,19,5313.727,22.0,94,1,1,22.0
893,123.534462,100,75,0.0,2.0,94,1,1,2.0
894,209.284744,200,67,0.0,4.0,94,1,2,4.0
895,2235.63,147,23,6604.733,22.0,94,1,0,22.0
896,591.1202,75,33,2374.1438,18.0,94,1,1,18.0
897,34.230087299999994,34,80,0.0,2.0,94,1,0,2.0
898,315.448273,169,69,0.0,3.0,94,1,1,3.0
899,1551.24707,0,42,3697.71851,16.0,94,1,0,16.0
900,20.2055073,0,93,0.0,1.0,94,1,0,1.0
901,885.058,0,55,0.0,8.0,94,1,0,8.0
902,1269.7981,24,27,0.0,20.0,94,1,0,20.0
903,50.86688,72,86,0.0,1.0,94,1,0,1.0
904,3015.432,274,7,6265.504,27.0,94,1,3,27.0
905,913.9507,69,44,0.0,14.0,94,1,0,14.0
906,46.7215424,0,81,0.0,2.0,94,1,0,2.0
907,472.0299,100,59,0.0,6.0,94,1,1,6.0
908,1221.354,166,48,1385.52808,13.0,94,1,1,13.0
909,2649.82129,67,12,7500.023,25.0,94,1,0,25.0
910,525.0451,231,54,0.0,8.0,94,1,2,8.0
911,30.68098,72,91,0.0,1.0,94,1,1,1.0
912,1969.18018,82,22,2008.28235,22.0,94,1,0,22.0
913,2328.72461,67,34,1243.45056,18.0,94,1,0,18.0
914,434.427277,52,57,0.0,7.0,94,1,0,7.0
915,927.5769,100,50,1839.2973600000007,13.0,94,1,1,13.0
916,959.182,23,51,4783.81348,13.0,94,1,0,13.0
917,2176.07227,101,28,0.0,20.0,94,1,0,20.0
918,1195.366,237,10,3649.705,26.0,94,1,2,26.0
919,55.07990649999999,99,76,0.0,2.0,94,1,0,2.0
920,50.9240532,140,89,0.0,1.0,94,1,1,1.0
921,31.5741463,0,79,0.0,2.0,94,1,0,2.0
922,2335.462,363,32,0.0,19.0,94,1,4,19.0
923,129.573318,0,71,0.0,3.0,94,1,0,3.0
924,52.6634,86,85,0.0,2.0,94,1,0,2.0
925,2131.544,178,14,2517.93042,25.0,94,1,2,25.0
926,2157.55615,120,31,6102.319,19.0,94,1,1,19.0
927,665.9716,24,52,0.0,11.0,94,1,1,11.0
928,1825.40674,364,5,5510.09668,28.0,94,1,4,28.0
929,2514.27637,303,39,1682.6662600000002,17.0,94,1,1,17.0
930,20.9711723,95,90,0.0,1.0,94,1,0,1.0
931,2492.52856,9,17,2797.34351,23.0,94,1,0,23.0
932,271.5284,120,70,0.0,3.0,94,1,1,3.0
933,1301.54041,292,40,0.0,17.0,94,1,2,17.0
934,1287.92285,217,2,2098.336,31.0,94,1,1,31.0
935,1101.86719,49,45,3980.73218,14.0,94,1,0,14.0
936,1027.00122,359,38,1968.75635,17.0,94,1,1,17.0
937,2247.30737,98,30,829.8259,19.0,94,1,1,19.0
938,1267.60254,240,25,4078.508,21.0,94,1,2,21.0
939,4029.76074,3,8,1564.826,26.0,94,1,0,26.0
940,569.942749,148,56,0.0,7.0,94,1,1,7.0
941,2364.4072300000007,406,4,4922.703610000001,29.0,94,1,5,29.0
942,1427.99109,106,9,7708.515,26.0,94,1,1,26.0
943,614.2408,147,58,0.0,7.0,94,1,1,7.0
944,2524.965,1042,1,4027.26465,31.0,94,1,9,31.0
945,261.361176,100,65,0.0,5.0,94,1,1,5.0
946,117.553116,0,68,0.0,3.0,94,1,0,3.0
947,58.334198,0,92,0.0,1.0,94,1,0,1.0
948,215.3002,75,66,0.0,4.0,94,1,0,4.0
949,1964.68628,342,6,4110.864000000001,27.0,94,1,1,27.0
950,3527.02563,263,18,89.6350555,23.0,94,1,2,23.0
951,1367.02783,79,41,1654.95471,16.0,94,1,0,16.0
952,25.0790634,0,88,0.0,1.0,94,1,0,1.0
953,2261.866,200,16,3558.3938,24.0,94,1,4,24.0
954,414.8825,152,61,0.0,5.0,94,1,1,5.0
955,1340.97839,99,46,2477.26416,14.0,94,1,1,14.0
956,1331.04785,0,49,0.0,13.0,94,1,0,13.0
957,64.7961655,100,83,0.0,2.0,94,1,1,2.0
958,2443.36914,166,3,7670.74854,31.0,94,1,1,31.0
959,420.4608,0,73,0.0,2.0,94,1,0,2.0
960,306.054382,170,60,0.0,5.0,94,1,1,5.0
961,77.59976,123,78,0.0,2.0,94,1,1,2.0
962,538.2293,183,64,0.0,5.0,94,1,1,5.0
963,77.41813,0,77,0.0,2.0,94,1,0,2.0
964,93.01197,0,84,0.0,2.0,94,1,0,2.0
2212,3195.1416,0,4,2115.6911600000008,29.0,95,1,0,29.0
2213,181.592987,76,56,0.0,6.0,95,1,1,6.0
2214,3267.1394,619,1,0.0,31.0,95,1,5,31.0
2215,5484.764,92,32,796.5325,16.0,95,1,0,16.0
2216,300.462616,80,61,0.0,5.0,95,1,0,5.0
2217,1597.88379,100,39,688.62085,12.0,95,1,1,12.0
2218,365.599365,0,67,0.0,5.0,95,1,0,5.0
2219,366.780121,111,55,0.0,6.0,95,1,1,6.0
